gameName,reviewLength,wordCount,wordLengthRatio,asciiRatio,uniqueWordRatio,hasCredibleText,isVaderEligible,snippet,reviewKey
Moonbase Alpha,8000,1,8000.0,1.0,1.0,false,false,aeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiouaeiou,c33c6b1bdb597c2655d01a9828fd04350635f56a972a704bdde5a64a6f14077d
Battlefield 2042,8000,1,8000.0,1.0,1.0,false,false,tankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstankstanks,8b50d1f37f5ce3aff80e0dcdd29ff66abee0ded1dc117e624482b34ea423b82f
Hrot,8000,1,8000.0,1.0,1.0,false,false,wooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,c165a7f56a0368a1ffe4e50399e7b62ee30e60472479e56060d8e6999cdb9233
Bloons TD Battles 2,8000,1,8000.0,1.0,1.0,false,false,syncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsyncingsync,beb3c3d7bd4861c8ad5f1b2df713b3772197e8a923ffd9d726ee5d3dfe99f89d
SuperHot,8000,1,8000.0,1.0,1.0,false,false,SUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOTSUPERHOT,8dc6b0c101de5b0dbc2d0c21ff36f8d7f231f91a1639ae3689ed2cba6fafe3d9
Fallout: New Vegas - Dead Money,8000,1,8000.0,1.0,1.0,false,false,NightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNightmareNi,c14bbe04829d113daea87c7f376fa9ff87602c0dcd6ee3e81005333caca580c0
The Murder of Sonic the Hedgehog,8000,1,8000.0,1.0,1.0,false,false,hehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehhehehehehehehehheheh,924297ad7a93dbdae31ee726f5307be644ba48051c074df5c5940d006fbb21df
Serious Sam II,8000,1,8000.0,1.0,1.0,false,false,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,76a932f6633a82bcb86f0098604ec2f1f2bdcb93e2b9608168f16c22d72061b4
Destiny 2,8000,1,8000.0,1.0,1.0,false,false,LMFAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,8fa92e655c1f325aa3b9a4097178ab811e35109438732176c7c9d3cec2e12afe
Post Void,8000,1,8000.0,1.0,1.0,false,false,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,7664c508f13fe7746a5f3d5f3079427338f2c53238f824685c1fd4333fed0d49
