gameName,hours_at_review,hours_total,votesUp,votesFunny,reviewLength,wordCount,votedUp,sentimentLabel,snippet
Star Trek Online,93407.1,94155.3,3,2,157,31,true,Positive,"Patrick Stewart: ""Make It So."" I've seen everything anyway. And I get on my bike and I ride off. On the grass. 
Sums up the game quite nicely. Best ga"
Sid Meier's Civilization V,90980.2,99896.9,2,0,132,25,false,Negative,game will not play on computer even though i have  owned and played this game for years. tired getting help from Steam but won't help
Sid Meier's Civilization IV,81336.3,115877.6,0,0,12,2,true,Positive,Pretty good.
Idling to Rule the Gods,81015.5,84229.9,0,0,22,4,true,Positive,best idle game around.
Team Fortress 2,79609.9,110459.5,1451,350,94,18,true,Neutral,"As the player who has logged more hours in TF2 than anyone else, I highly reccomend this game."
Sid Meier's Civilization V,79160.1,83960.2,1,0,56,11,true,Positive,"beware - addictive

by far the best Civ version out there"
Dungeon Fighter Online,79062.7,79062.7,1,0,1074,190,false,Negative,"Veteran player with Black Diamond status, banned for no reason 3x in one week.

This game doesn't respect your time, it doesn't respect your money.


"
Counter-Strike: Global Offensive,77419.4,83013.4,0,0,1,1,false,,!
Realm of the Mad God,76383.1,90093.4,38,107,8,2,true,Positive,Fun time
Nekopara Vol. 1,75696.9,95055.8,10,3,254,44,true,Negative,"Imagine getting your account hacked and losing all your friends you made to this meme of a game, along with every review, screenshot, and artwork also"
