gameName,votesFunny,votesUp,commentCount,reviewLength,wordCount,votedUp,sentimentLabel,snippet
Fallout 4,28215,7855,332,41,6,true,Neutral,I've nearly finished making my character.
Fallout: New Vegas,23884,8052,171,96,21,true,Positive,"Met a cute girl in the desert. My VATS said i'd had a 0% chance to hit that.

10/10, such realism"
Counter-Strike: Global Offensive,22190,8459,394,490,90,true,Positive,"Things I gave to Counter-Strike:
1. Money
2. Time
3. Love

Things Counter-Strike gave me:
1. Arthritis
2. Rage
3, Hatred of Russians,Spanish, and Russians
4. Broken keyboard
5. Broken mouse 
6. 9/10 r"
Cyberpunk 2077,19624,18698,116,77,15,true,Neutral,"They made a 18+ game
They also waited for everyone to turn 18+
How convenient"
Counter-Strike: Global Offensive,18998,6914,295,264,49,true,Positive,"Every team consists of 5 people:
1.You
2.Russian Guy
3.Another Russian Guy
4.Russian Guy who speaks English
5. A 6 year old kid who slept with your mother

11/10 Too much Salt and С*ка Бли@т,not enoug"
Counter-Strike: Global Offensive,18208,6721,113,52,9,true,Positive,It's like roulette; fun until it turns into Russian.
Counter-Strike: Global Offensive,16186,5029,100,127,26,true,Negative,"If i had a dollar for each time someone screamed at me in another language, i'd still have no money because i spent it on skins
"
PUBG: Battlegrounds,15916,7058,185,45,9,true,Positive,Fun and challenging for both you and your pc.
No Man's Sky,15731,8808,424,586,103,false,Positive,"This game has endless possiblities. 
[spoiler]Almost all of which are not featured in this game. [/spoiler]
I had a great time playing this game.
[spoiler]For the first 8 hours and then it was just a "
Dota 2,15310,4667,870,51,12,true,Positive,I only played it for a little bit. It's ok I guess.
