gameName,total_funny,total_reviews,funny_per_review,pctNegativeSentiment,weightedSentimentRating,weightedVoteRating,sentimentVoteAlignment,steamRatingLabel
Fast & Furious: Crossroads,6568,99,66.34,36.36,63.38,57.4,5.97,Mixed
The Culling II,5480,117,46.84,48.72,52.64,33.29,19.35,Mostly Negative
Day One: Garry's Incident,49175,1266,38.84,51.42,41.5,27.83,13.68,Mostly Negative
The Lord of the Rings: Gollum,16560,642,25.79,34.89,62.74,49.1,13.64,Mixed
BrickForce,31837,1686,18.88,38.14,55.3,43.95,11.34,Mostly Negative
Genesis Online,12132,953,12.73,35.57,57.33,44.69,12.64,Mostly Negative
Hunt Down the Freeman,37905,3134,12.09,31.53,64.52,60.35,4.17,Mixed
Gasp,12455,1206,10.33,42.37,51.28,30.98,20.3,Mostly Negative
Call of Duty: Black Ops 7,20982,2197,9.55,38.37,57.65,41.51,16.13,Mostly Negative
The Forgotten Ones,7765,984,7.89,41.97,56.79,60.59,-3.8,Mixed
