gameName,votesUp,votesFunny,commentCount,reviewLength,wordCount,votedUp,hours_at_review,sentimentLabel,snippet
Dragon's Dogma II,38484,12080,884,1281,252,false,4.1,Positive,"Hey Capcom,

You can purchase a ""good review DLC"" for $1.99.


EDIT:

Well, this blew up for a single line comment over dumb MTX practices.
Discussion has run its course so I've disabled comments. At "
Battlefield 2042,36261,570,900,5292,915,false,32.6,Negative,"[h1]Launch Review[/h1]

Do not buy Battlefield 2042

DICE\EA know how to make a “Battlefield” game.
DICE\EA made trailers that promoted this game.
    >  DICE\EA inserted all the “only in Battlefield”"
Borderlands 2,36112,432,0,2225,330,false,343.7,Positive,"Take-Two and 2K games have updated all their games Terms of Service, turning this game as well as all of their other games into literal spyware.

Important Info in Terms of Service:
• Mods are a banna"
Helldivers 2,34139,503,1821,1115,196,false,2.1,Negative,"Greatly disappointed with the additional forced change of requiring a PSN account in order to play the game. 

Not only does this force users who are in the many countries to either break the ToS and "
Rust,28267,327,775,530,109,true,114.4,Positive,"I love this game, I built a house around a guys house and made him my prisoner, I fed him cans of tuna and cooked chicken when it was available, and some times I would drop in spare logs of wood(when "
Helldivers 2,27147,823,393,113,19,true,44.2,Positive,"DEMOCRACY HAS PREVAILED

edit: if the publisher was half as good as the devs/game itself, it would've been perfect"
Dragon's Dogma II,27039,1153,0,681,125,false,0.2,Positive,Was putting together a compatibility guide for playing the game under Linux/Steam Deck which required me to use various Proton versions. Apparently each of these counted as an individual PC and trigge
Helldivers 2,22792,3826,191,103,22,true,14.0,Positive,"this game is so good that we even had a campaign mission in real life.
FOR THE LOVE OF LIBERTY <3
10/10"
Helldivers 2,22370,750,0,833,135,false,33.5,Positive,"As many others have stated: this game requires nProtect Gameguard, which requires root level access. The company, nProtect, has several scandals in its history, including having its user data exploite"
Dragon's Dogma II,22202,261,0,77,12,false,0.5,Negative,"Gonna keep it short:

Denuvo, bad optimisation, micro transactions

DO NOT BUY."
