gameName,sentimentVoteAlignment,totalReviews,weightedSentimentRating,weightedVoteRating,steamRatingLabel,avgPlaytimeAtReviewHours,avgWordCount,pctNegativeSentiment,pctBugReports,pctEarlyAccess,pctRefunded,genres,themes
Doom,-21.16,117016,74.32,95.48,Very Positive,24.67,37,23.83,2.93,0.0,0.24,Shooter,"Action, Horror, Science fiction"
Doom Eternal,-18.31,132442,72.29,90.6,Very Positive,29.58,41,24.91,2.86,0.0,0.27,Shooter,"Action, Fantasy, Horror, Science fiction, Warfare"
Sekiro: Shadows Die Twice,-17.23,97778,76.89,94.12,Very Positive,49.0,37,21.56,2.02,0.0,0.44,Adventure,"Action, Fantasy, Historical, Stealth"
Phasmophobia,-16.27,426001,79.36,95.63,Very Positive,39.61,19,19.03,3.23,100.0,0.19,"Indie, Puzzle, Tactical","Action, Horror, Thriller"
Lethal Company,-15.64,340226,81.7,97.34,Overwhelmingly Positive,24.74,16,16.56,2.33,100.0,0.35,Indie,"Action, Comedy, Horror, Science fiction"
Project Zomboid,-14.84,190903,78.97,93.82,Very Positive,132.59,30,19.05,2.75,100.0,0.44,"Indie, Role-playing (RPG), Simulator","Horror, Open world, Sandbox, Survival"
RimWorld,-14.13,137590,83.45,97.58,Overwhelmingly Positive,410.38,37,15.57,2.42,10.12,0.12,"Indie, Real Time Strategy (RTS), Simulator, Strategy","Science fiction, Survival"
Dark Souls III,-13.76,164124,80.1,93.85,Very Positive,110.21,32,18.22,2.85,0.0,0.28,"Adventure, Role-playing (RPG)","Action, Fantasy"
Cuphead,-13.39,70104,82.81,96.2,Very Positive,28.66,26,15.99,2.2,0.0,0.42,"Adventure, Arcade, Indie, Platform, Shooter","Action, Comedy, Fantasy"
Dead Cells,-13.37,50002,82.52,95.9,Very Positive,44.19,35,15.75,2.04,12.48,0.23,"Adventure, Indie, Platform","Action, Fantasy"
