gameName,totalReviews,weightedSentimentRating,weightedVoteRating,sentimentVoteAlignment,steamRatingLabel,avgPlaytimeAtReviewHours,pctBugReports,pctEarlyAccess
Counter-Strike: Global Offensive,2514949,76.41,84.82,-8.41,Very Positive,520.07,1.14,0.0
Dota 2,823817,82.05,87.69,-5.64,Very Positive,1446.55,0.9,0.0
Helldivers 2,794791,77.32,81.69,-4.37,Very Positive,93.07,11.66,0.0
Rainbow Six Siege,764759,72.35,80.51,-8.15,Very Positive,287.26,3.06,0.0
Team Fortress 2,728364,83.67,89.23,-5.55,Very Positive,504.82,1.01,0.0
Terraria,722524,90.23,97.66,-7.43,Overwhelmingly Positive,220.63,0.83,0.0
Grand Theft Auto V,637596,77.83,80.85,-3.02,Very Positive,172.53,3.2,0.0
Rust,614010,74.22,86.4,-12.18,Very Positive,528.65,2.47,13.17
Garry's Mod,599941,87.9,96.98,-9.08,Overwhelmingly Positive,368.65,2.02,0.0
Elden Ring,555781,83.06,93.93,-10.87,Very Positive,106.11,3.2,0.0
