themeName,ratedGames,reviewedGames,totalReviews,sentimentReviews,weightedSentimentRating,weightedVoteRating,sentimentVoteAlignment,pctNegativeSentiment,avgPlaytimeAtReviewHours,pctRefunded,pctBugReports
Business,411,265,1646889,1609475,88.65,91.11,-2.44,9.9,43.28,0.33,5.47
Educational,496,244,606354,591114,87.44,91.12,-3.67,10.91,33.19,0.37,4.74
Romance,452,328,930386,910797,86.97,93.45,-6.49,11.92,17.59,0.18,2.74
Kids,1119,599,1574244,1532713,86.77,89.92,-3.13,11.06,13.97,0.37,4.28
Mystery,1258,986,2755412,2713482,85.39,90.68,-5.28,13.85,10.93,0.33,4.78
Drama,777,505,3122454,3065856,84.39,89.6,-5.22,14.16,20.43,0.28,4.63
Comedy,2908,1564,7551293,7359760,84.18,90.27,-6.11,13.48,15.26,0.29,3.54
"4X (explore, expand, exploit, and exterminate)",210,150,1033994,1017301,84.16,85.15,-0.97,14.57,86.39,0.29,7.01
Party,910,409,1515974,1465810,84.12,88.93,-4.8,13.0,15.59,0.41,3.39
Erotic,278,222,216046,211483,83.86,88.63,-4.78,14.89,19.12,0.54,2.71
